,Gene Name,D0 vs. D25 Log2 Fold Change,D0 vs. D25 p-value
43206,MIR3118-2,2.797325567,1
44062,PRSS40B,2.797325567,1
45803,MIR7112,2.797325567,1
51259,LOC101927827,2.797325567,1
53974,DUXAP9,2.797325567,1
54323,FAM182B,2.797325567,1
57996,OR4F21,2.797325567,1
58114,LOC606724,2.797325567,1
59887,USP17L15,2.797325567,1
61329,TRIM53AP,2.797325567,1
63350,MIR3118-3,2.797325567,1
65121,LOC100132287,2.797325567,1
65846,FAM223B,2.797325567,1
70268,LCE3C,2.797325567,1
71650,CT45A8,2.797325567,1
72881,RBMY3AP,2.797325567,1
73528,PPIP5K1P1-CATSPER2,2.797325567,1
74075,GOLGA6L1,2.797325567,1
75185,LOC100508046,2.797325567,1
31327,OR2T12,2.72108088,0.000790387
16442,TPTEP1,2.709491592,1.94E-05
70753,ANKRD30BP2,2.688901247,0.000480009
59152,LOC110091776,2.666630528,0.000132578
33563,MIR3156-3,2.595025233,0.003290641
7959,MIR509-3,2.49505774,0.002435422
41434,MIR509-1,2.49505774,0.002435422
58452,MIR509-2,2.49505774,0.002435422
6929,ZNF208,2.4927898,0.00060939
32941,PFN1P2,2.455943427,0.102034043
56134,OR4F4,2.455943427,0.102034043
61730,DMRTC1,2.455943427,0.102034043
6309,GGTLC2,2.440698099,0.028124346
36173,LOC644669,2.440698099,0.028124346
1433,MIR5701-3,2.435307554,0.005665
7012,MIR5701-1,2.435307554,0.005665
15673,MIR3914-1,2.407690864,1.69E-05
23185,OR2T2,2.377043277,0.03841595
29940,PWRN2,2.351685513,0.001917268
31278,LOC100133920,2.332222478,0.151958443
34932,MIR3180-3,2.332222478,0.151958443
49497,PKD1P5-LOC105376752,2.332222478,0.151958443
70345,OR2A4,2.332222478,0.151958443
15736,ZNF735,2.305681433,0.000359824
59206,POTEC,2.298772783,0.007829081
68349,MIR320C1,2.283671037,2.07E-05
61957,OR4K15,2.238847041,0.00365839
42878,OR4N4,2.222202364,0.002716212
8496,DCT,2.213235429,1.17E-05
1549,MIR8069-1,2.210662507,0.000798773
40116,MIR3914-2,2.197233705,6.55E-05
1739,LOC107985911,2.170518391,0.000292231
27845,FRG1JP,2.151932795,0.000464357
45737,FLJ44635,2.132650927,3.84E-05
3202,TP53TG3D,2.089964626,0.098298569
16887,LOC102723713,2.089964626,0.098298569
21197,SPDYE18,2.089964626,0.098298569
26227,TPTE2P3,2.089964626,0.098298569
42528,LOC100506123,2.089964626,0.098298569
45152,LOC100506076,2.089964626,0.098298569
1723,RBM11,2.086978532,2.58E-05
26206,FAM181A-AS1,2.069031297,3.34E-05
27771,LINC00221,2.051513072,0.002004441
24918,LOC101928195,2.047531276,0.225920517
33499,LSP1P4,2.021638217,0.000574155
6170,REXO1L2P,2.008287111,0.071295247
25803,RGPD6,2.008287111,0.071295247
59066,ULK4P3,2.008287111,0.071295247
74220,HERC2P11,1.994252699,0.040322524
32944,OR5D13,1.985284938,0.00136078
59134,SRGAP2-AS1,1.971631747,0.00136078
26941,FAM95A,1.969180371,0.000548213
16256,LINC00839,1.968962863,0.000608769
20825,MIR8077,1.960522063,0.00010624
72900,DEFB122,1.960200989,0.000598636
4252,ANKRD20A12P,1.935760271,0.053634028
28318,SNORA22C,1.935760271,0.053634028
21952,OR11H2,1.921706485,0.071295247
45587,MIR4508,1.919120997,0.000939204
12683,LINC01053,1.914048134,0.000290665
18123,KBTBD11,1.891955217,0.000121001
10469,NIPA1,1.889765173,0.000133379
16246,LOC101928058,1.881791957,0.000131459
58867,GOLGA8Q,1.880907574,0.334335011
62458,GYG2P1,1.880907574,0.334335011
6856,SMIM38,1.859395457,0.000212235
28091,BMS1P22,1.854949942,0.00427293
8014,NOTCH3,1.852764946,0.000185662
8151,TPTE,1.85180072,0.000920293
670,SNAR-A7,1.850268792,0.042373668
911,SNAR-A9,1.850268792,0.042373668
42805,CDRT15P1,1.850268792,0.042373668
57775,POM121L10P,1.850268792,0.042373668
62215,LOC100130849,1.850268792,0.042373668
54653,ZNF492,1.848258029,0.004371718
70738,MUC5B-AS1,1.848258029,0.004371718
27031,LINC00417,1.845530004,0.01146707
50685,FLRT1,1.838639983,0.000406208
13610,LNCRNA-ATB,1.835188662,0.021686697
63518,WASIR2,1.835188662,0.021686697
4413,FOLH1,1.833396171,0.002560096
17708,FAM181A,1.833214491,0.000191967
22378,MIR513B,1.831987109,0.004371718
19464,YWHAEP1,1.819399784,0.004918413
46407,CYP4F35P,1.819399784,0.004918413
8640,GSTT2B,1.811140931,0.071349084
59847,LINC01674,1.811140931,0.071349084
13557,ENPP7P13,1.796359807,0.001026687
1249,NDST4,1.792168312,0.000308113
9458,TRIM49B,1.791939129,0.023663643
27275,LOC388813,1.787444276,0.002018318
68382,OR10H1,1.787016508,0.012955271
73432,ZXDA,1.781840588,0.000949861
7830,ZNF737,1.780011127,0.000432184
60063,ADH1C,1.77533289,0.000838532
31781,PSG1,1.764376034,0.006526195
25647,INTS4P1,1.758125493,0.028932119
28814,CCNYL3,1.752603114,0.004024927
39111,ACTR3BP5,1.751306952,0.068977461
48031,LINC01665,1.747760538,0.005300737
74462,LOC105369274,1.745558339,0.007522787
22436,CDRT15P2,1.744547358,0.094872751
42426,CDRT15L2,1.744547358,0.094872751
21395,LOC100287846,1.743357996,0.001154026
34991,OR4C5,1.74120729,0.002236498
60480,PWRN1,1.739682635,0.011578988
27878,ZNF479,1.736295482,0.004449292
4051,NRIP1,1.734239847,0.000343389
57700,LOC646214,1.732057053,0.001937345
4731,LOC105379550,1.731201686,0.14326539
11764,USP17L6P,1.731201686,0.14326539
18666,LOC403323,1.723500278,0.035383314
13109,LOC101928401,1.716539838,0.001947606
70363,WHAMMP2,1.709249548,0.01824287
23689,ZNF222,1.705613452,0.001546834
33918,CRYL1,1.702608696,0.000815727
30173,LOC101929998,1.70058419,0.012782279
41445,ZNF729,1.694758498,0.006962441
359,SMN1,1.692495954,0.490451881
431,NF1P2,1.692495954,0.490451881
1694,DUXAP10,1.692495954,0.490451881
1957,LOC727751,1.692495954,0.490451881
4293,SMN2,1.692495954,0.490451881
8476,EIF3CL,1.692495954,0.490451881
43144,LOC497256,1.692495954,0.490451881
60652,PMS2P9,1.692495954,0.490451881
62549,POTEG,1.692495954,0.490451881
59560,MIR3156-2,1.688023568,0.035383314
52037,OR4C16,1.68416013,0.007806042
32639,LOC728673,1.67091974,0.042868663
24697,LINC01005,1.667732624,0.011550966
61504,OR4M2,1.667732624,0.011550966
8796,OR8H2,1.667319407,0.008869555
39734,LINC00408,1.667319407,0.008869555
53407,SNORA11,1.666326969,0.0029433
8175,RGR,1.665388733,0.000868264
27346,LINC02369,1.659983887,0.005357989
61811,FAHD2A,1.656117999,0.00089105
43666,PAGE2B,1.650279777,0.008869555
5217,ZNF107,1.648633116,0.000825553
23700,MIR4507,1.639451201,0.003169757
3066,OR5L2,1.63865121,0.004432799
37332,HDHD5,1.636790163,0.00092064
13183,ZNF71-SMIM17,1.63278875,0.001040359
18316,ZNF71,1.63278875,0.001040359
44837,PAGE5,1.632015139,0.006695497
71415,CT47B1,1.627186606,0.013335812
29208,LOR,1.625226707,0.001330429
32414,OR4C12,1.620917053,0.010512565
7320,LINC02368,1.617824771,0.006695497
29538,OR4A16,1.617824771,0.006695497
26736,GALP,1.612530927,0.001836445
52698,ANKRD20A11P,1.610070558,0.004679356
63729,GLYATL2,1.606478113,0.015401337
61628,HSPA13,1.606453655,0.000768804
1036,HDHD5-AS1,1.6060832,0.0011175
5739,FAM104B,1.604425324,0.001170325
34443,LCE3E,1.603493439,0.007487748
6946,NCALD,1.602778293,0.00160603
16838,LINC01739,1.598291859,0.00238296
12292,SLC35G3,1.597919022,0.011461651
39033,XKR3,1.597919022,0.011461651
28478,TPPP,1.593859355,0.001495047
9904,MAGEL2,1.59044156,0.001369629
4072,ZNF138,1.5903291,0.001072644
62361,MIR4536-2,1.588464589,0.001781597
44608,LOC285074,1.58472611,0.002354927
36710,MACC1-AS1,1.584622112,0.001552169
48772,GOLGA2P9,1.582884397,0.007514273
43486,MAGEH1,1.578516884,0.001893655
22634,ZNF713,1.577604344,0.001328511
1,PEG3,1.573842647,0.003152151
1894,ZIM2,1.573842647,0.003152151
53370,LOC101927668,1.572416249,0.001634661
62338,ZNF66,1.571555786,0.001469308
593,ZNF28,1.569481561,0.007099596
72128,MIMT1,1.568308403,0.00338389
67248,MIR4536-1,1.566465816,0.001959035
5241,PSMG2,1.564912135,0.001321589
19109,CLEC18B,1.562944882,0.013859938
2095,PIWIL1,1.553502576,0.003038424
51347,PCSK1N,1.551902008,0.002211675
6558,ZNF420,1.546602296,0.001648646
27643,ZNF514,1.546366379,0.001744001
26929,LOC100240728,1.54523781,0.009416539
23117,LINC01287,1.54470058,0.010488335
