,Gene Name,D0 vs. D45 Log2 Fold Change,D0 vs. D45 p-value
17292,LEAP2,-1.498178159,0.005277949
17293,LIM2,-1.47686045,0.005277949
17295,MIR6510,-1.47686045,0.005277949
17296,TFDP2,1.321488563,0.005278959
17308,XIRP2-AS1,1.416215076,0.005286939
17309,BBS7,1.308628092,0.005290904
17314,UAP1,1.316025306,0.005296557
17316,MAOA,1.316315817,0.005299476
17319,UTS2,-1.654038775,0.005300737
17320,SNORD11,-1.654038775,0.005300737
17321,POTEKP,-1.654038775,0.005300737
17322,SFTA3,-1.356905798,0.005300768
17324,DNAJA4,-1.507954842,0.005316511
17325,MIR140,-1.507954842,0.005316511
17326,EPPIN-WFDC6,-1.507954842,0.005316511
17327,EPPIN,-1.507954842,0.005316511
17329,FBXO27,-1.351646448,0.005321017
17331,ARHGAP5-AS1,1.312005686,0.005324957
17332,ELMO1,1.323824634,0.005328282
17333,NOTCH4,-1.519312807,0.005328412
17338,PTH2R,-1.388583353,0.005336626
17340,MIR608,-1.531872309,0.005339269
17341,MSMO1,1.305352797,0.005346164
17342,PIGP,1.334839917,0.005346845
17345,MIR548H2,-1.630166619,0.005350036
17346,TOP1P2,-1.630166619,0.005350036
17347,SLC17A3,-1.630166619,0.005350036
17349,MIR548AY,-1.630166619,0.005350036
17352,SPAAR,-1.365130537,0.005354913
17353,TCN2,-1.355281003,0.005355198
17354,LOC101927000,-1.535490352,0.005355512
17356,KRT85,-1.535490352,0.005355512
17357,DNAJC5G,-1.60624103,0.005357989
17358,MIR630,-1.60624103,0.005357989
17360,NTRK2,-1.585398076,0.005359137
17361,AADACL3,-1.551591652,0.005359137
17362,LINC02762,-1.585398076,0.005359137
17363,LINC00489,-1.585398076,0.005359137
17364,FBXO32,-1.551591652,0.005359137
17365,LINC02207,-1.585398076,0.005359137
17366,EPN2-AS1,-1.585398076,0.005359137
17367,MIR598,-1.551591652,0.005359137
17369,SNORD115-39,-1.585398076,0.005359137
17371,SNORA91,-1.551591652,0.005359137
17372,MIR5698,-1.585398076,0.005359137
17374,HOXB1,-1.416209529,0.005363234
17375,LINC02090,-1.456932382,0.005365316
17376,GBA3,-1.439894584,0.005365316
17378,SLCO4C1,1.306850508,0.005371986
17380,MRGPRG-AS1,-1.358607872,0.005382662
17383,LOC105377716,-1.445366166,0.005383104
17384,TFE3,1.313719055,0.005391006
17390,ALKAL2,-1.360487032,0.005392785
17391,ZNF423,-1.423536745,0.00539655
17392,MAP2K3,1.325100978,0.005400987
17394,C14orf180,-1.469566456,0.005401587
17395,DND1,-1.451229304,0.005401587
17397,SSTR5,-1.40173541,0.00541013
17400,TDRKH,1.328570513,0.005418249
17404,CHFR,1.333218893,0.005420477
17409,METTL3,1.351493464,0.005421877
17411,KCNH6,-1.346021362,0.005423759
17415,SEMA3F,-1.40456918,0.005426656
17419,ESRP2,-1.325084532,0.00543795
17422,PADI2,-1.385304862,0.005445186
17426,SIDT1,1.348590246,0.005457774
17427,OSBPL3,1.31070464,0.005460067
17428,LINC00365,-1.474214641,0.005461271
17429,C3orf33,1.326777742,0.00547235
17430,PPCDC,-1.426943832,0.005472465
17432,SELENOT,1.319291887,0.005472593
17433,FBXO9,1.324809198,0.005474411
17438,DHX32,-1.394779293,0.005479674
17440,BIRC6,1.311080074,0.005481664
17441,ZNF45,1.398435318,0.005483766
17443,ZNF518A,1.324349801,0.005489117
17445,COMTD1,-1.325221051,0.005498201
17447,NPY1R,1.311506345,0.005498774
17452,C7orf65,-1.51427887,0.005504404
17453,MYOZ1,-1.51427887,0.005504404
17454,CNIH1,1.315663374,0.005512676
17455,MIR5696,1.337979745,0.005517382
17456,LOC101927495,-1.35816479,0.0055202
17457,ANKRD34C,-1.408736673,0.005520625
17463,PRKCD,-1.386430925,0.005524615
17465,ESPL1,-1.386430925,0.005524615
17471,PDIA4,1.305039847,0.00553685
17475,TMEM127,1.320365231,0.005539477
17477,SEMA3C,1.306515987,0.00554405
17480,ZFP37,1.339081005,0.005548054
17483,SGK2,-1.515402129,0.005549552
17484,SLC22A6,-1.489946843,0.005549552
17485,PRKCA-AS1,-1.489946843,0.005549552
17488,HMHB1,-1.515402129,0.005549552
17490,PIAS2,-1.515402129,0.005549552
17492,KDM7A-DT,1.313311271,0.005552104
17493,LGALS7,-1.767910057,0.005557573
17494,LOC105379192,-1.767910057,0.005557573
17496,MAP3K21,-1.315351853,0.005567292
17497,PRKACG,-1.527540711,0.005572464
17498,MIR4303,-1.500662656,0.005572464
17499,B3GNT6,-1.527540711,0.005572464
17501,PTPRB,1.332219267,0.00557506
17504,EMILIN1,-1.409600844,0.005575728
17505,MIR4460,-1.363380258,0.005577638
17509,MX2,-1.455376882,0.005588912
17510,LINC01003,1.311104626,0.005589624
17513,CSTL1,-1.54101069,0.005595205
17514,MIR7110,-1.54101069,0.005595205
17515,BCAR3,-1.54101069,0.005595205
17517,LINC01265,1.401209951,0.005596577
17518,UBXN10-AS1,-1.383691959,0.005599181
17519,IFNG-AS1,1.422108076,0.005600086
17521,SYNE4,-1.396441828,0.005600086
17523,FGF14-IT1,1.303939131,0.005611128
17524,MIR6727,-1.425472351,0.00561262
17526,UHRF1BP1L,1.303530853,0.005617932
17528,RAI2,1.364703708,0.005621431
17529,ZNF556,-1.717836832,0.005627681
17531,OR3A2,-1.717836832,0.005627681
17532,SNORD13E,-1.717836832,0.005627681
17534,LOC102724908,-1.717836832,0.005627681
17535,ZSCAN12P1,-1.717836832,0.005627681
17536,PLD5,1.306489807,0.0056374
17538,PRRX2,-1.377744495,0.005638062
17539,LOC105371789,-1.429978883,0.005638507
17540,KLLN,1.300607478,0.005644131
17541,MGME1,1.312615365,0.005644513
17542,LOC401463,1.311527982,0.005647977
17543,CCDC92,1.314112099,0.005652819
17545,CRIM1,1.301367148,0.005653501
17547,ERAP1,-1.563512956,0.005656473
17548,RAD54L2,-1.563512956,0.005656473
17549,SNORD115-4,-1.563512956,0.005656473
17550,QDPR,1.315553178,0.005657176
17551,BRWD3,1.303521069,0.005658589
17554,MIR376C,-1.6771663,0.005664207
17555,OVAAL,-1.6771663,0.005664207
17556,LILRB4,-1.6771663,0.005664207
17577,IL27RA,-1.451231377,0.005665712
17579,A4GALT,-1.411053677,0.005669306
17582,HIPK1-AS1,1.323517151,0.005669902
17583,GALR3,-1.38046274,0.00567036
17585,KRT17,-1.583514266,0.005671067
17588,RNF126P1,-1.583514266,0.005671067
17592,LINC02656,-1.621807519,0.005671067
17594,TXNDC12-AS1,-1.621807519,0.005671067
17600,LINC01753,-1.621807519,0.005671067
17601,ZNF19,-1.621807519,0.005671067
17607,SNORD152,-1.621807519,0.005671067
17613,KLHL7,1.31354491,0.005671841
17616,GUSB,1.338805522,0.005678378
17623,SPATA31D1,-1.648186715,0.005679664
17624,MIR4527HG,-1.606580182,0.005679664
17625,EMC7,1.327181271,0.005683344
17626,FGF14-AS2,1.301889725,0.005683851
17628,PYGB,1.323333526,0.005690737
17629,DSC2,1.30226229,0.005692052
17631,CALML6,-1.414691738,0.00569558
17635,ZNF296,-1.374029308,0.00569814
17636,LBHD2,-1.46590643,0.005703682
17637,MIR1255A,-1.488212984,0.005703682
17638,MIR6768,-1.46590643,0.005703682
17639,MAP1LC3B2,-1.46590643,0.005703682
17640,CYTH1,-1.488212984,0.005703682
17641,FAT3,-1.488212984,0.005703682
17642,LOC100506497,-1.488212984,0.005703682
17644,STYX,1.299858863,0.005713641
17646,MIR194-2HG,-1.399258722,0.005714103
17649,KLHL7-DT,1.311993773,0.005715294
17650,NIPBL-DT,1.306665238,0.005718736
17651,TNXB,-1.44727501,0.005724453
17653,NT5E,1.304009253,0.00572446
17654,CAMKV,-1.35194959,0.005728932
17656,SCARNA18B,1.313356241,0.005734155
17657,TRIM9,1.299425778,0.005735322
17658,SOAT2,-1.497633557,0.005735764
17659,OR4C5,1.567125361,0.005735764
17660,FAM171B,1.298172931,0.005741099
17661,SPX,1.307169464,0.005744189
17665,ZNF226,1.37114344,0.005745029
17681,LAMC1,1.303019728,0.005754563
17682,MIR194-2,-1.453278057,0.005756195
17683,SNX5,1.310485735,0.005758439
17686,SNAPC4,-1.37051403,0.005759641
17687,TTL,1.324591596,0.005762515
17688,DZANK1,1.31059881,0.005765288
17690,POLR3F,1.311393387,0.005765288
17703,OR5J2,1.568959818,0.00576922
17705,MRPL19,1.321455603,0.005774528
17706,RYR1,-1.364777729,0.005782031
17707,NDST1,-1.364777729,0.005782031
17709,MIR6810,-1.412878647,0.005782716
17710,LINC01856,-1.428445692,0.005782716
17711,MIR548T,-1.459732289,0.005789667
17712,MIR6842,-1.459732289,0.005789667
17713,LOC101928371,-1.459732289,0.005789667
17714,GPR150,1.307262326,0.00579292
17715,ATP11C,1.29489009,0.005801723
17718,ZFP30,1.333351085,0.0058022
17724,SLC7A5,-1.366267667,0.005803423
17726,FZD6,1.313138537,0.005806913
17730,PGBD4,1.3237991,0.005810256
17732,IL3,-1.433143263,0.005814886
17735,ALMS1,1.309703244,0.005833621
17736,PHIP,1.297223237,0.005837276
17740,LTA,-1.508441102,0.005839968
17741,PRR26,-1.508441102,0.005839968
17742,C1orf189,-1.536359451,0.005839968
17743,LOC285766,-1.536359451,0.005839968
17746,SLC10A5,-1.536359451,0.005839968
17750,YBX2,-1.330036147,0.005843521
17751,LOC105369147,1.311524041,0.00585312
17755,MIR4647,-1.368288684,0.00585348
17756,ITM2B,1.308435478,0.005853629
17757,MIR4649,-1.377406158,0.005857402
17758,FAM49B,1.298473309,0.005857423
17777,MIR324,-1.401240951,0.005859455
17778,LINC01749,-1.388660376,0.005859455
17782,LIPE,-1.521203852,0.005876918
17783,HCCAT5,-1.521203852,0.005876918
17784,HTR2B,-1.521203852,0.005876918
17785,SSMEM1,-1.521203852,0.005876918
17787,MIR1913,-1.521203852,0.005876918
17789,SLC6A18,-1.521203852,0.005876918
17790,NCOA7,1.29912728,0.005878209
17794,CCL27,-1.370093686,0.005879408
17796,LOC105370792,-1.421231227,0.005891117
17797,FUNDC1,1.309971799,0.005891291
17798,LINC00881,1.299518273,0.005892167
17799,PLCL1,1.295447268,0.005893127
17800,SNORA15,-1.883387707,0.005893284
17802,OR5T2,1.539666249,0.005901678
17803,VWA2,-1.360605929,0.005902433
17804,FAM218A,1.318790484,0.005905136
17806,LINC00575,1.397134563,0.005912614
17808,MROH6,-1.356041004,0.005914225
17809,OR11G2,1.627034183,0.005914477
17810,ABCC10,-1.567076241,0.005914477
17811,GPR65,-1.567076241,0.005914477
17812,SNORD169,-1.567076241,0.005914477
17813,NMB,-1.337959028,0.005919605
17815,SEC23A-AS1,1.300022031,0.005929384
17816,SPACA5,1.38282928,0.005936232
17817,CST11,-1.471380919,0.005943301
17818,DPYD-AS1,-1.494399295,0.005943301
17820,FAM221A,1.312544293,0.005947879
17824,IMMT,1.311303169,0.005955189
17832,CDC7,1.297764244,0.005971914
17834,TGFBRAP1,1.324385803,0.005974921
17837,PJA2,1.286960342,0.005975112
17839,HIPK1,1.3178747,0.005979149
17840,SPACA6,1.3178747,0.005979149
17842,THEM4,1.32327559,0.005979693
17843,GOLGA8B,1.335717593,0.005980983
17845,PPP1R13L,-1.333223607,0.005985999
17846,EHHADH-AS1,-1.504406471,0.005987271
17848,CD3D,-1.576538319,0.005988685
17849,IFNL1,-1.576538319,0.005988685
17850,MED4-AS1,-1.576538319,0.005988685
17855,A2M,1.444931594,0.005991811
17860,MIR26A2,-1.401761133,0.005991811
17861,NNT,1.299858829,0.005994535
17862,CLCN3,1.291845254,0.005994985
17868,SNX24,1.295114236,0.006003039
17871,MIR3150A,-1.464311569,0.006005213
17874,ZNF219,1.31005042,0.006006883
17875,AMER2,1.356245087,0.006010472
17877,NUP214,-1.808279779,0.00601101
17878,PCDHGB5,-1.738493665,0.00601101
17879,LINC00649,-1.738493665,0.00601101
17880,REN,-1.738493665,0.00601101
17882,YY1AP1,-1.738493665,0.00601101
17883,OR1E2,-1.808279779,0.00601101
17893,LINC00955,-1.403290996,0.006012275
17894,LINC01461,1.305851555,0.006014504
17897,LINC01743,-1.598508467,0.006022924
17898,KIZ-AS1,-1.598508467,0.006022924
17899,SYK,-1.381143943,0.006027293
17901,LINC01833,1.310513223,0.006028729
17902,LINC01503,-1.405251999,0.006029385
17904,MIR3142HG,-1.383986857,0.006038511
17905,MAGEC3,1.369912957,0.006041718
17906,COG3,1.317335444,0.006043685
17910,MIR126,-1.424639591,0.006043988
17911,CYP2S1,-1.424639591,0.006043988
17912,SOGA3,1.301450856,0.006044383
17914,MIR3074,-1.47163958,0.006050344
17915,GABRR1,-1.451226765,0.006050344
17917,MIR8064,-1.47163958,0.006050344
17921,LOC101929006,-1.624028274,0.006052472
17922,LINC02644,-1.624028274,0.006052472
17924,PIK3C2B,-1.624028274,0.006052472
17925,LYPD5,-1.624028274,0.006052472
17926,LOC101928730,-1.624028274,0.006052472
17929,UCK2,1.299164844,0.006061023
17931,KLHL13,1.299781466,0.006061023
17933,LCOR,1.300637986,0.00606167
17937,MIR2117HG,-1.689037672,0.006065126
17939,SNORD114-31,-1.749978746,0.006065126
17941,HLA-DQA2,-1.749978746,0.006065126
17942,LOC200772,-1.408951411,0.006069044
17943,FGF4,-1.386251309,0.006070527
17944,PACSIN1,-1.375294949,0.006070527
17945,GPR75-ASB3,-1.33887223,0.006073459
17951,AQP12B,-2.351802981,0.006090658
17952,KRT17P1,-2.351802981,0.006090658
17953,UBE2D3-AS1,1.284548428,0.006091291
17954,PDCD10,1.282862371,0.00609283
17956,SLC24A2,1.310980804,0.006100003
17958,PGR-AS1,1.289775398,0.00610396
17960,RSBN1L,1.292461698,0.006106931
17967,PTPN12,1.288095349,0.006125729
17970,LOC101927164,-1.516792806,0.006134139
17971,MIG7,-1.516792806,0.006134139
17972,LOC100289230,1.285033339,0.006141204
17973,CNOT7,1.29155967,0.006141853
17975,PCDHB14,-1.446297066,0.006149288
17976,FAM83C,-1.446297066,0.006149288
17977,TRIM39-RPP21,-1.446297066,0.006149288
17978,PRSS47,-1.446297066,0.006149288
17979,LOC105371049,-1.338468915,0.006158674
17980,MCC,1.301876238,0.006161827
17982,MIR378B,-1.404066093,0.006166956
17983,ARMCX2,1.319854262,0.006167814
17988,PLLP,-1.382721808,0.006175852
17989,SYNE2,1.298154081,0.006178267
17990,SEC23A,1.29369822,0.006179377
17994,LINC01257,-1.530542323,0.006188122
17996,MIR378E,-1.530542323,0.006188122
17997,THAP9,1.296917416,0.006201874
18001,MIR4701,-1.477190587,0.006203576
18002,MTO1,1.317753662,0.00620979
18008,LOC102503427,-1.325795893,0.006213433
18009,CDH12,1.29817124,0.006216895
18010,SEC31A,1.294315172,0.006218682
18013,TBC1D16,-1.346383761,0.006227361
18015,MIR219A2,-1.359780744,0.006233248
18017,HPS3,1.295417423,0.006237205
18020,COL24A1,1.287607396,0.0062417
18021,THAP9-AS1,1.29560419,0.006241823
18024,LINC00994,-1.546001946,0.006244386
18025,SNORD115-9,-1.546001946,0.006244386
18026,SNORD115-5,-1.546001946,0.006244386
18028,SNORD115-12,-1.546001946,0.006244386
18029,FOXP3,-1.546001946,0.006244386
18044,IFNL4,-1.411542968,0.006257787
18048,NNT-AS1,1.292646653,0.006258365
18053,SCAMP1,1.303404863,0.006268238
18056,ICAM5,-1.333081012,0.006273327
18057,SMPDL3A,1.28574497,0.006274871
18058,ZNRF2,1.290544583,0.006284612
18059,ZFR,1.295017582,0.006285806
18063,PSMB7,-1.362768649,0.006299518
18064,ZNF814,-1.358770488,0.006309899
18065,APOA1,-1.347279797,0.00631958
18066,DUOX2,-1.347279797,0.00631958
18068,LINC00690,-1.365031937,0.006320697
18069,URAHP,-1.330385987,0.006322888
18070,FAM71E1,-1.384350381,0.006331703
18074,EVX2,-1.344675003,0.006336835
18075,SERPINI1,1.276620552,0.00633699
18076,VPS37A,1.287777134,0.006337753
18084,EXO1,1.28610168,0.006342581
18085,HBS1L,1.287590653,0.006346143
18090,SMIM41,-1.406461059,0.006352351
18091,ST6GAL2,1.292915682,0.00635314
18095,KLK4,-1.324133805,0.006357294
18099,MIR1910,-1.552535922,0.006361663
18100,MIR4723,-1.590829175,0.006361663
18103,C4BPB,-1.552535922,0.006361663
18104,MFSD1,1.289846808,0.006362294
18109,TRPV6,-1.333555651,0.006367486
18111,GYG1,1.292468184,0.006376314
18114,LAMTOR3,1.287793557,0.006382945
18118,ZMAT4,1.299706682,0.006398316
18120,REEP5,1.292037038,0.006398725
18121,SCAMP1-AS1,1.297205046,0.006400514
18122,GLUD1,1.287407037,0.006401566
18134,CPT1A,-1.349499059,0.006411719
18138,ACER2,1.285548674,0.006413525
18140,GGT5,-1.615075326,0.006420495
18143,C3P1,-1.573468793,0.006420495
18146,LOC101448202,-1.573468793,0.006420495
18149,MIR492,-1.37698546,0.006421486
18150,SLC25A25,-1.37698546,0.006421486
18151,KRT19P2,-1.37698546,0.006421486
18153,MIR3150BHG,-1.446839576,0.006422441
18154,MIR431,-1.446839576,0.006422441
18155,HYLS1,-1.854779818,0.006431704
18156,SIGLEC14,-1.946836514,0.006431704
18157,MIR4752,-1.946836514,0.006431704
18158,MIR606,-1.854779818,0.006431704
18160,LINC02062,1.277612834,0.006433167
18161,RIMBP2,1.354693964,0.006452794
18166,SHISA9,-1.316779755,0.006454771
18168,CAMSAP2,1.289755621,0.006455279
18172,UACA,-1.496144631,0.00645877
18173,LINC00710,-1.525783722,0.00645877
18178,ARHGEF12,-1.496144631,0.00645877
18179,MIR6799,-1.525783722,0.00645877
18180,HIST2H3DP1,-2.795163619,0.006461186
18181,NUTM2G,-3.340460818,0.006461186
18183,LOC100130698,-2.795163619,0.006461186
18185,KRT16P2,-2.795163619,0.006461186
18186,ARL17A,-2.795163619,0.006461186
18190,ARHGAP21,1.279833149,0.006463476
18192,MIR192,-1.431346292,0.006475072
18193,SNORD115-3,-1.597917325,0.00647665
18194,SNORD116-21,-1.597917325,0.00647665
18195,HRH4,-1.597917325,0.00647665
18196,AKR7L,-1.643464855,0.00647665
18197,CNBD2,-1.643464855,0.00647665
18200,HKDC1,-1.597917325,0.00647665
18202,LOC100506321,-1.643464855,0.00647665
18203,TGM7,-1.597917325,0.00647665
18209,GRIFIN,-1.344930515,0.006478473
18210,EEF1AKMT1,1.326138038,0.006483954
18213,PRAMEF1,-2.362895242,0.006484189
18214,RGPD3,-2.362895242,0.006484189
18217,MIR6750,-1.433096038,0.006487031
18218,MIR24-1,-1.453508853,0.006487031
18219,LOC101928429,-1.433096038,0.006487031
18221,GPR75,-1.327425519,0.006502987
18222,SSH1,-1.418507315,0.006516169
18223,LY6G6E,-1.418507315,0.006516169
18225,DLEU2,1.284176121,0.006518929
18226,WAPL,1.287481762,0.006526402
18232,RPL37,1.285500143,0.006530935
18234,GMNC,1.290073242,0.006531767
18236,CXCL10,-1.540639381,0.006533229
18237,C3orf22,-1.509053492,0.006533229
18239,LOC105369509,-1.509053492,0.006533229
18241,SCARNA12,-1.418466502,0.006538516
18242,WWC3,1.294298449,0.006540699
18244,ROPN1,-1.856050703,0.006542311
18245,NLRP7,-1.856050703,0.006542311
18246,LINC01480,-1.856050703,0.006542311
18247,KRTAP1-5,-1.778788293,0.006542311
18253,C6orf99,-1.856050703,0.006542311
18258,FGF16,1.434787653,0.006548836
18259,AKR1B1,1.28354845,0.00655454
18260,COLCA1,-1.439421181,0.006556232
18261,CHRM3,-1.46073889,0.006556232
18262,VIPR1,-1.493400302,0.006561079
18263,AGXT,-1.493400302,0.006561079
18264,SNORD115-22,-1.467945016,0.006561079
18265,LOC101929161,-1.467945016,0.006561079
18266,ZBTB33,1.293293794,0.006566142
18273,MIR3201,-1.72071712,0.006574382
18274,SRPRB,-1.72071712,0.006574382
18275,OR7G1,-1.72071712,0.006574382
18276,SNORD38C,-1.72071712,0.006574382
18277,ZNF204P,-1.72071712,0.006574382
18278,SCFD1,1.292639912,0.006579825
18280,PUM3,1.282894904,0.006582418
18292,DHX36,1.284676754,0.006591809
18295,VPS54,1.304607055,0.00660132
18297,SRSF6,1.298820115,0.006607296
18299,MIR1180,-1.397477783,0.006608299
18302,SLC12A1,-1.557423287,0.006612192
18305,MIR365B,-1.557423287,0.006612192
18306,ATAT1,-1.367567541,0.006629554
18313,DBH-AS1,-1.402902683,0.006632394
18316,B4GALNT2,-1.504483982,0.006640647
18317,MIR7844,-1.477605927,0.006640647
18318,CCDC188,-1.504483982,0.006640647
18319,MIR3688-2,-1.504483982,0.006640647
18320,TMC1,-1.504483982,0.006640647
18322,SLPI,-1.477605927,0.006640647
18323,MIR3646,-1.477605927,0.006640647
18324,CDKL4,-1.504483982,0.006640647
18325,SNORA41,-1.412161437,0.00664347
18326,COX6C,1.293696576,0.006652045
18327,BMPR2,1.284016639,0.006654644
18335,RASL10A,-1.351171359,0.006670043
18336,RNU1-4,-1.401145033,0.006671501
18337,RNU1-1,-1.401145033,0.006671501
18338,RNU1-2,-1.401145033,0.006671501
18339,RNVU1-18,-1.401145033,0.006671501
18340,RNU1-3,-1.401145033,0.006671501
18341,METTL11B,1.289903557,0.006675038
18342,CITED2,1.274804466,0.00667591
18343,SDAD1,1.320474571,0.00667672
18347,CCN2,1.271372138,0.006694012
18350,HS3ST6,-1.346520352,0.006706919
18351,FBXL3,1.274607934,0.006709406
18355,ELF5,-1.377795869,0.006722851
18357,KCNQ1,-1.33551139,0.006726947
18361,FIGLA,-1.37167279,0.006733274
18362,MED4,1.292453815,0.006740138
18363,LINC01695,1.406908076,0.00674161
18364,WFIKKN1,-1.31493143,0.006745531
18365,LOC101929523,1.328237994,0.006746547
18366,MAFG,-1.362064725,0.006748319
18367,TACR3,1.278183365,0.006749068
18368,LOC105375115,-1.437254967,0.006757028
18370,MIR3925,-1.437254967,0.006757028
18371,MIR7853,-1.387710229,0.006771127
18372,TLE2,-1.373794853,0.006771127
18374,RPL22L1,1.288096225,0.006774802
18379,ARMC12,-1.380311666,0.00678146
18382,DSCAS,1.273674843,0.006782208
18384,PLD4,-1.421852732,0.006788742
18385,SRL,-1.440668193,0.006788742
18389,AP3M2,1.276766551,0.006789462
18392,MIR7156,-1.34869259,0.006807983
18393,SLC44A1,1.272078806,0.006808511
18395,FASTKD3,1.288740769,0.006809379
18398,CPA4,-1.504581204,0.006818357
18401,PCDHGA10,-1.504581204,0.006818357
18402,LINC00996,-1.504581204,0.006818357
18405,LOXL2,-1.308491812,0.006824675
18406,KRT80,-1.39989714,0.006825744
18407,CALML5,-1.384330094,0.006825744
18409,BEND5,1.28758894,0.006826474
18413,DPP7,-1.390778195,0.006836226
18414,RELL1,1.266715208,0.006839346
18416,RRP7BP,-1.44393953,0.006840982
18418,PYY,-1.338632965,0.00685205
18419,LOC100506016,-1.330180168,0.00685205
18420,LOC105371031,-1.365651752,0.006853093
18423,SPAG4,-1.290055421,0.006867753
18424,MSRB3,1.285945477,0.006868139
18425,SNORD115-35,-1.589323802,0.006872352
18426,MIR3122,-1.589323802,0.006872352
18427,GSTM5,-1.589323802,0.006872352
18432,MIR6759,-1.39757613,0.006887353
18433,LOC100506937,-1.474276206,0.006889637
18434,LOC338694,-1.474276206,0.006889637
18436,MIR1224,-1.387633539,0.006898623
18438,COMMD2,1.297739025,0.006899025
18441,DOK7,-1.352592652,0.006907665
18442,LOC100128653,-1.36117442,0.006910456
18443,SOST,-1.36117442,0.006910456
18446,KRT78,-1.518559304,0.006917511
18447,LINC02490,-1.518559304,0.006917511
18448,LINC00200,-1.518559304,0.006917511
18453,EIF4E,1.276243081,0.006920271
18456,LDHAL6A,-1.451223583,0.00693154
18458,MIR4478,-1.451223583,0.00693154
18459,MIR4304,-1.474241958,0.00693154
18466,MTRR,1.282731107,0.00694752
18485,RCBTB1,1.289335749,0.006953749
18494,PRKX-AS1,-1.616634876,0.006962441
18495,CELF1,-1.616634876,0.006962441
18497,MIR15A,-1.616634876,0.006962441
18499,RN7SL1,1.278998525,0.006966317
18505,TCEA3,-1.368908973,0.006976256
18506,SYT8,-1.382063084,0.006976256
18511,GPR61,-1.368908973,0.006976256
18512,OLFML1,-1.407800658,0.006976417
18514,SNORA67,-1.375546959,0.006978489
18515,SOX15,-1.32855256,0.006979107
18516,XK,1.275823033,0.006981275
18518,FAXDC2,-1.314084561,0.006987806
18519,KCNE2,-1.512541399,0.006990362
18520,SNORA100,-1.512541399,0.006990362
18521,TRIM63,-1.512541399,0.006990362
18523,SNORA30,-1.48462305,0.006990362
18524,LOC105378052,-1.48462305,0.006990362
18525,CHP2,-1.48462305,0.006990362
18526,EVADR,-1.48462305,0.006990362
18528,MIR6787,-1.348275549,0.007007618
18529,DUOXA2,-1.325602398,0.007009395
18530,LOC91370,-1.355794002,0.007023144
18531,SNORD115-8,-1.56987823,0.007024123
18532,SCARNA6,-1.534409459,0.007024123
18533,LOC105379030,-1.534409459,0.007024123
18534,CEP85,-1.534409459,0.007024123
18537,MIR6848,-1.331624751,0.007034526
18538,IRS4,1.267349054,0.007034567
18539,OVOL2,-1.31169048,0.007041574
18541,LOC100419170,-1.371285599,0.007045911
18542,LINC00322,-1.384809638,0.007045911
18543,KCTD1,1.27604854,0.00704798
18544,NPY6R,-1.703375744,0.007048654
18545,MIR378J,-1.703375744,0.007048654
18547,LOC400710,-1.64928956,0.007048654
18548,LOC101928269,-1.64928956,0.007048654
18549,RPS14P3,-1.64928956,0.007048654
18551,OR2C1,-1.64928956,0.007048654
18552,RPL13AP3,-1.703375744,0.007048654
18554,ARSH,-1.703375744,0.007048654
18555,2-Mar,-1.703375744,0.007048654
18556,INPP4A,1.303218792,0.007048848
18561,MIR920,-1.420330785,0.007049338
18562,LINC02328,1.483244004,0.007049338
18566,AIFM3,-1.378303306,0.007052315
18568,SNORD65,-1.378303306,0.007052315
18569,ITGAX,-1.425410563,0.00705789
18570,MIR670HG,-1.425410563,0.00705789
18572,GATA2,-1.349655259,0.007063675
18573,LOC102723709,2.282902721,0.007069018
18575,CMPK1,1.284845558,0.007079701
18581,FANCI,-1.319795034,0.007089289
18584,BTD,1.269725214,0.007095722
18585,FAM92B,-1.362477406,0.007096696
18588,MAFB,1.278068958,0.007103865
18593,TRIM2,-1.30917623,0.007114099
18595,IRF4,-1.307140533,0.00711902
18599,PCOTH,1.290458166,0.007131082
18603,STPG2,1.265020522,0.007136389
18604,LINC-PINT,-1.406410993,0.007140896
18606,IL33,1.443037889,0.007140896
18628,ZNF671,-1.448724045,0.007150267
18634,AADAT,1.269338119,0.007150404
18635,SURF6,-1.345676824,0.007152451
18638,MIR4472-1,-1.431098748,0.007152944
18639,ANKRD13C,1.265368938,0.007153683
18640,CDC73,1.264402517,0.007156846
18641,RRS1,1.270218086,0.007163146
18642,RRS1-AS1,1.270218086,0.007163146
18643,LOC101927245,1.264200369,0.007163549
18644,GP5,-1.364513643,0.007166058
18645,MYO5A,1.27906739,0.007166547
18646,LOC392364,-1.826965461,0.00717061
18647,ZNF880,-1.826965461,0.00717061
18648,RABGEF1,-1.687996737,0.007172537
18649,ZNF57,-1.687996737,0.007172537
18650,OR7E91P,-1.757782851,0.007172537
18651,ZBTB25,-1.757782851,0.007172537
18652,KRT12,-1.757782851,0.007172537
18653,ZNF233,-1.757782851,0.007172537
18654,LOC102723335,-1.687996737,0.007172537
18655,ZNF534,-1.687996737,0.007172537
18656,DEFB128,-1.757782851,0.007172537
18658,MIR523,-1.757782851,0.007172537
18660,SNORD114-6,-1.687996737,0.007172537
18661,S100A7A,-1.687996737,0.007172537
18662,KRTAP4-3,-1.757782851,0.007172537
18665,SNORD114-5,-1.757782851,0.007172537
18667,SBDS,1.283906677,0.007175101
18678,DCBLD1,1.26261959,0.007178118
18683,REEP1,1.306799741,0.007185092
18687,COPS4,1.269832039,0.007185707
18690,CTSO,1.277974595,0.007188339
