,Gene Name,D0 vs. D45 Log2 Fold Change,D0 vs. D45 p-value
356,TMEM114,-3.047589401,2.7e-08
357,SMPDL3B,-2.99214055,2.77e-08
358,DNASE1,-3.09920884,2.82e-08
360,HIST1H1A,-3.13509187,2.9e-08
361,BTG3,2.753809809,2.91e-08
363,MAGOHB,2.774001505,2.97e-08
367,PTPRE,-2.977482686,2.99e-08
369,BTG3-AS1,2.747388803,3.09e-08
373,LINC00375,2.859020504,3.11e-08
375,DENND5B-AS1,2.755050219,3.26e-08
376,LINC00358,2.820652804,3.34e-08
377,ZWINT,2.715300725,3.49e-08
378,MIR4536-1,2.847833654,3.5e-08
381,MUC21,-3.127204121,3.64e-08
383,LINC00680,2.886780873,3.66e-08
386,LINC00680-GUSBP4,2.886780873,3.66e-08
393,CNKSR1,-3.016354903,3.79e-08
396,JAM2,2.732509139,3.84e-08
399,ZXDB,2.861473235,3.85e-08
400,CC2D2B,2.727663334,3.9e-08
402,USP44,-2.94816273,3.95e-08
405,LOC101926892,-2.965262495,3.96e-08
406,KRCC1,2.766463263,4.13e-08
408,USP51,2.763743072,4.15e-08
410,PLPP2,-2.86934335,4.17e-08
412,HERC3,2.700239286,4.28e-08
416,CCNB3,2.778839908,4.73e-08
417,GSDMA,-3.330137161,4.97e-08
418,PLEKHG6,-2.811868799,4.99e-08
419,CHST4,-2.870048781,5.02e-08
420,SPIN3,2.740683801,5.29e-08
422,PDYN-AS1,-2.892185873,5.33e-08
423,SMARCA2,2.680768936,5.38e-08
426,SMCO1,-3.327494401,5.41e-08
428,ZBED9,-3.327494401,5.41e-08
429,EMBP1,2.714918823,5.41e-08
430,ROCK1,2.680657146,5.47e-08
431,TCL1B,-3.057630691,5.48e-08
432,CMSS1,2.830935833,5.48e-08
433,GREB1L,2.719857304,5.58e-08
434,PPM1K,2.668542964,5.75e-08
435,ZNF804A,2.675118892,5.75e-08
436,PPM1K-DT,2.666732847,5.85e-08
439,NAP1L2,2.758069637,5.89e-08
440,RAB17,-2.941185178,5.9e-08
442,SERHL,-2.838599314,5.95e-08
443,UBXN11,-3.074771445,6.03e-08
444,PAH,-2.755789959,6.04e-08
445,UBQLN2,2.730287292,6.14e-08
446,DNHD1,-2.855651533,6.14e-08
448,LOC101929538,-2.752929661,6.3e-08
449,CCDC172,-2.8275123,6.33e-08
450,TEX52,-2.947487341,6.51e-08
453,EIF2AK3-DT,2.659690573,6.63e-08
454,ZNF697,2.671994826,6.71e-08
455,LINC00612,2.667401694,6.91e-08
456,A2M-AS1,2.667058251,6.91e-08
459,ANPEP,-3.05346422,6.93e-08
460,ZNF565,-3.102081849,6.93e-08
461,RPIA,2.667183886,7.02e-08
462,GCNT2,-2.807411492,7.08e-08
463,NUDT9,2.681444859,7.25e-08
464,PROS1,2.684944643,7.28e-08
466,MIR4422,-3.233427492,7.32e-08
467,NUDT11,2.742948316,7.37e-08
468,LOC101928307,2.648413213,7.44e-08
470,ETS1,-2.928880411,7.79e-08
471,CD52,-3.047822752,7.79e-08
472,CCK,-2.93429358,7.96e-08
473,PADI6,-3.055678439,7.98e-08
474,PNPLA1,-3.055678439,7.98e-08
479,CENPE,2.638626871,8.36e-08
481,EIF2AK3,2.635609118,8.44e-08
482,CGB1,-4.159866731,8.52e-08
483,FLI1,-2.718769001,8.56e-08
484,LOC729291,2.647938581,8.64e-08
485,PIP5KL1,-2.73535179,8.78e-08
486,CCDC91,2.64364225,8.83e-08
497,ATP2B2-IT2,-3.007476722,8.84e-08
498,SLN,2.836675768,8.97e-08
503,BDH1,-2.984715363,9.13e-08
504,ZNF66,2.712921377,9.15e-08
505,CGB2,-3.64010833,9.21e-08
507,F13A1,-2.786492502,9.31e-08
508,RBPJL,-2.871177995,9.47e-08
512,LOC105376805,-3.003648175,9.73e-08
514,LOC284798,2.706884206,1e-07
515,SOX30,-2.918376748,1.01e-07
517,MACC1,-2.678434491,1.01e-07
518,SLC16A5,-2.782258239,1.03e-07
520,ARHGAP27,-2.903503504,1.03e-07
521,SPIN2B,2.6674853,1.04e-07
526,C1orf210,-2.880702168,1.06e-07
528,SNAR-G1,-4.121467213,1.07e-07
529,HTATSF1P2,-2.917163299,1.09e-07
531,DDX31,-3.071436558,1.13e-07
534,LOC100506098,-2.666972191,1.14e-07
537,KRT19,-2.765337074,1.15e-07
538,ADGRB3,2.603974771,1.16e-07
539,JAK2,2.599447297,1.17e-07
542,WARS2,2.600099365,1.19e-07
550,WARS2-AS1,2.594070775,1.25e-07
554,ZFP64,-2.677747799,1.26e-07
555,OTOG,-2.689031985,1.28e-07
557,SLC25A27,2.592240002,1.32e-07
559,CD164L2,-2.802489602,1.33e-07
561,PRR15L,-2.909119045,1.34e-07
563,ZBED6CL,-2.812826343,1.41e-07
564,CYP39A1,2.58558461,1.41e-07
567,MIR548J,-3.020581142,1.42e-07
568,MARVELD3,-2.762105369,1.45e-07
571,C10orf82,-2.650930325,1.49e-07
573,CD40,-2.815082112,1.51e-07
581,EDA,2.592529123,1.54e-07
586,MYEOV,-2.799774457,1.59e-07
592,NDUFAF2,2.575065312,1.66e-07
595,EFCAB8,-3.087844422,1.71e-07
597,NOP53-AS1,-3.000618195,1.72e-07
598,SLC2A7,-3.396096232,1.72e-07
599,IFT88,2.590511515,1.77e-07
623,DCUN1D4,2.542965155,1.85e-07
624,TACSTD2,-2.729097873,1.87e-07
625,PSORS1C2,-2.763405221,1.87e-07
626,PCDHGB7,-2.989578541,1.89e-07
628,LOC642943,-3.079324454,1.91e-07
629,ERCC8,2.559522579,1.92e-07
633,LOC645485,2.548216269,1.92e-07
634,MIR4514,-2.872920933,1.95e-07
635,LINC02569,-2.766562429,2.01e-07
636,ZBTB14,2.542157802,2.01e-07
637,LOC257396,2.550842719,2.02e-07
639,SNX7,2.543427965,2.02e-07
643,CAPRIN2,2.542492109,2.03e-07
646,LOC102724163,-2.985522822,2.07e-07
647,POU2F3,-2.832066258,2.07e-07
648,GDAP2,2.551914471,2.11e-07
650,WDR3,2.551914471,2.11e-07
651,MOCS2,2.544933848,2.13e-07
652,MBNL3,2.559756004,2.13e-07
654,SNTG1,2.735346882,2.14e-07
656,SLCO2B1,-2.828996639,2.15e-07
658,LINC02395,-2.759445577,2.19e-07
659,GLYATL1,2.56624382,2.2e-07
660,TNNT2,-2.614999198,2.2e-07
669,UBE3A,2.568099576,2.22e-07
695,TRIM7,-2.886092563,2.31e-07
696,ZNF232,-3.062061528,2.35e-07
697,SUPT3H,2.533006124,2.38e-07
698,OR13C2,2.764186419,2.4e-07
705,ATP2C2,-2.691218315,2.41e-07
707,MIR181A1HG,2.553501015,2.41e-07
708,ZNF85,2.628003875,2.41e-07
713,MATN4,-2.752552064,2.42e-07
719,CRYL1,2.669000145,2.44e-07
721,SMIM15-AS1,2.557536782,2.44e-07
723,FBXW7,2.65407967,2.48e-07
726,C6orf15,-2.873276824,2.5e-07
727,SMIM15,2.551382085,2.53e-07
728,FAM177B,-2.672737877,2.53e-07
730,LUZP2,2.526067076,2.54e-07
733,GPRIN3,2.536129432,2.54e-07
735,EAF2,2.525248767,2.58e-07
736,MIR3675,-3.726015887,2.58e-07
737,USP6,-3.044589535,2.62e-07
738,ZNF33B,2.533784649,2.63e-07
741,CAPN13,-2.73074014,2.65e-07
